Team,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93
Manchester City,98,100,78,66,79,86,78,89,71,67,50,55,42,43,52,41,51,0,34,0,0,0,0,38,49,0,57
Liverpool,97,75,76,60,62,84,61,52,58,63,86,76,68,82,58,60,64,80,69,67,54,65,68,71,74,0,59
Chelsea,72,70,93,50,84,82,75,64,71,86,83,85,83,91,95,79,67,64,61,65,75,63,59,50,54,0,56
Tottenham Hotspur,71,77,86,70,64,69,72,69,62,70,51,46,60,65,52,45,50,50,49,53,47,44,46,61,62,0,59
Arsenal,70,63,75,71,75,79,73,70,68,75,72,83,68,67,83,90,78,87,70,73,78,78,68,63,51,0,56
Manchester United,66,81,69,66,70,64,89,89,80,85,90,87,89,83,77,75,83,77,80,91,79,77,75,82,88,0,84
Wolverhampton Wanderers,57,0,0,0,0,0,0,25,40,38,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
Everton,54,49,61,47,47,72,63,56,54,61,63,65,58,50,61,39,59,43,42,50,43,40,42,61,50,0,53
Leicester City,52,47,44,81,41,0,0,0,0,0,0,0,0,0,0,33,0,28,48,55,49,53,47,0,29,0,0
West Ham United,52,42,45,62,47,40,46,0,33,35,51,49,41,55,0,0,42,53,42,55,57,56,42,51,50,0,0
Watford,50,41,40,45,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Crystal Palace,49,44,41,42,48,45,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,33,0,0,45,0,49
Newcastle United,45,44,0,37,39,49,41,65,46,0,34,43,43,58,44,56,69,71,51,52,46,44,68,78,72,0,0
Bournemouth,45,44,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burnley,40,54,40,0,33,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,39,36,46,63,60,56,41,0,0,0,0,0,0,0,32,47,52,45,52,44,41,48,41,38,54,0,50
Brighton & Hove Albion,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiff City,34,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,26,0,0,0,0,32,43,52,49,46,53,36,39,48,44,52,48,44,0,0,0,0,0,0,0,0,0
Huddersfield Town,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swansea City,0,33,41,47,56,42,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoke City,0,33,44,51,51,50,42,45,46,47,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bromwich Albion,0,31,45,43,43,36,49,47,47,0,32,0,0,30,34,0,26,0,0,0,0,0,0,0,0,0,0
Hull City,0,0,34,0,35,37,0,0,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesbrough,0,0,28,0,0,0,0,0,0,0,32,42,46,45,55,48,49,45,42,52,51,0,39,43,0,0,44
Sunderland,0,0,24,39,37,38,39,45,47,44,36,39,0,15,0,0,19,40,57,58,0,0,40,0,0,0,0
Norwich City,0,0,0,34,0,33,44,47,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,43,0,72
Aston Villa,0,0,0,17,35,38,41,38,48,64,62,60,50,42,47,56,45,50,54,58,55,57,61,63,48,0,74
Queens Park Rangers,0,0,0,0,30,0,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,60,0,63
Wigan Athletic,0,0,0,0,0,0,36,43,42,36,45,40,38,51,0,0,0,0,0,0,0,0,0,0,0,0,0
Reading,0,0,0,0,0,0,28,0,0,0,0,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolton Wanderers,0,0,0,0,0,0,0,36,46,39,41,37,56,56,58,53,44,40,0,0,0,40,0,29,0,0,0
Blackburn Rovers,0,0,0,0,0,0,0,31,43,50,41,58,52,63,42,44,60,46,0,0,35,58,42,61,89,0,71
Birmingham City,0,0,0,0,0,0,0,0,39,50,0,35,0,34,45,50,48,0,0,0,0,0,0,0,0,0,0
Blackpool,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portsmouth,0,0,0,0,0,0,0,0,0,19,41,57,54,38,39,45,0,0,0,0,0,0,0,0,0,0,0
Derby County,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,30,42,38,52,55,46,0,0,0,0
Sheffield United,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,52
Charlton Athletic,0,0,0,0,0,0,0,0,0,0,0,0,34,47,46,53,49,44,52,0,36,0,0,0,0,0,0
Leeds United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,47,66,68,69,67,59,46,43,73,0,51
Ipswich Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,66,0,0,0,0,0,27,0,52
Coventry City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,44,42,52,41,38,50,0,52
Bradford City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0
MK Dons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,42,44,56,41,56,0,54
Sheffield Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,44,57,40,51,0,59
Nottingham Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,34,58,77,0,40
Barnsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
Oldham Athletic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
Swindon Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
