Date,6.0 Marshmallow,5.1 Lollipop,7.0 Nougat,7.1 Nougat,8.1 Oreo,4.4 KitKat,5.0 Lollipop,8.0 Oreo,4.2 Jelly Bean,9.0 Pie,2.0 Eclair,4.1 Jelly Bean,4.3 Jelly Bean,2.3 Gingerbread,4.0 Ice Cream Sandwich
2017-06,42.12,32.57,3.23,0.42,0,10.49,6.58,0,2.11,0,0,1.19,0.52,0.39,0.33
2017-07,43.47,31.64,3.92,0.6,0,9.88,6.3,0,1.95,0,0,1.07,0.51,0.34,0.29
2017-08,44.26,30.27,5.55,1.1,0,9.11,5.87,0,1.8,0,0,0.98,0.47,0.3,0.27
2017-09,40.92,30,8.88,1.68,0,8.94,5.68,0.04,1.82,0,0,0.97,0.46,0.31,0.28
2017-10,39.2,28.2,12.55,3.03,0,8.26,5.17,0.06,1.64,0,0,0.88,0.41,0.33,0.25
2017-11,37.22,26.69,14.63,4.96,0,8.04,4.92,0.07,1.58,0,0,0.85,0.4,0.36,0.25
2017-12,35.24,25.93,15.84,6.41,0.03,8.13,4.81,0.12,1.58,0,0,0.88,0.4,0.36,0.26
2018-01,33.48,25.3,16.75,7.7,0.06,7.96,4.69,0.6,1.58,0,0,0.87,0.4,0.33,0.26
2018-02,32.68,23.84,18.33,9.1,0.08,7.25,4.33,1.33,1.43,0,0,0.75,0.36,0.27,0.23
2018-03,30.82,22.94,18.49,10.24,0.12,6.75,4.02,1.74,1.33,0,2.03,0.69,0.33,0.27,0.22
2018-04,28.85,21.99,18.62,12.49,0.51,6.32,3.69,2.04,1.23,0,2.8,0.65,0.29,0.26,0.24
2018-05,27.59,20.58,19.14,14.55,1.24,5.84,3.39,2.58,1.13,0,2.65,0.59,0.26,0.23,0.21
2018-06,26.41,18.92,19.34,16.65,2.21,5.1,3.09,3.52,1,0,2.58,0.52,0.23,0.22,0.19
2018-07,25.3,17.98,19.16,17.35,4.36,4.44,2.85,4.15,0.85,0,2.57,0.43,0.21,0.17,0.16
2018-08,23.8,16.6,18.78,17.33,7.25,3.67,2.47,4.73,0.68,0,3.93,0.34,0.17,0.11,0.12
2018-09,23.48,16.37,18.13,16.31,11.08,3.47,2.43,5.9,0.64,0,1.33,0.32,0.17,0.09,0.11
2018-10,22.76,16.11,15.51,15.34,16.47,3.28,2.34,6.93,0.6,0,0,0.3,0.15,0.12,0.1
2018-11,21.39,15.62,13.89,14.84,20.55,2.99,2.15,6.88,0.61,0.35,0,0.32,0.14,0.15,0.09
2018-12,20.17,14.43,12.88,14.52,23.43,2.63,1.92,7.68,0.52,1.25,0,0.26,0.11,0.12,0.07
2019-01,19.36,14.09,12.15,13.95,24.95,2.41,1.81,7.93,0.48,2.31,0,0.25,0.1,0.13,0.06
2019-02,18.61,13.46,11,13.3,27.3,2.3,1.73,8.11,0.46,3.19,0,0.25,0.1,0.12,0.06
2019-03,17.9,12.63,10.56,12.05,29.17,2.28,1.66,8.42,0.43,4.41,0,0.23,0.1,0.1,0.05
2019-04,17.21,12.12,10.16,11.54,30.08,2.19,1.59,7.5,0.41,6.74,0,0.2,0.09,0.1,0.04
2019-05,16.36,11.45,9.81,11.41,30.41,2.02,1.46,6.15,0.37,10.16,0,0.18,0.09,0.1,0.04
