Year,Location
1925,Kentucky
1926,Kentucky
1927,Ohio
1928,Indiana
1929,Nebraska
1930,Iowa
1931,Illinois
1932,Iowa
1933,Ohio
1934,Maine
1935,Ohio
1936,Iowa
1937,Kentucky
1938,Kentucky
1939,Massachusetts
1940,Tennessee
1941,Michigan
1942,Texas
1946,Iowa
1947,Georgia
1948,Ohio
1949,Ohio
1950,Ohio
1951,Tennessee
1952,North Carolina
1953,Arizona
1954,Pennsylvania
1955,Missouri
1956,Pennsylvania
1957,Colorado
1957,Ohio
1958,Kansas
1959,Colorado
1960,Tennessee
1961,Oklahoma
1962,Texas
1963,Tennessee
1964,Ohio
1965,Oklahoma
1966,Texas
1967,Nebraska
1968,Kansas
1969,Texas
1970,North Carolina
1971,Pennsylvania
1972,Texas
1973,Texas
1974,Alabama
1975,Puerto Rico
1976,New York
1977,Pennsylvania
1978,Kansas
1979,Colorado
1980,Colorado
1981,Texas
1982,Colorado
1983,Texas
1984,Virginia
1985,Illinois
1986,Pennsylvania
1987,Pennsylvania
1988,California
1989,Colorado
1990,Washington
1991,Wisconsin
1992,Virginia
1993,Tennessee
1994,Tennessee
1995,Tennessee
1996,Florida
1997,New York
1998,Jamaica
1999,Florida
2000,Missouri
2001,Minnesota
2002,Colorado
2003,Texas
2004,Indiana
2005,California
2006,New Jersey
2007,California
2008,Indiana
2009,Kansas
2010,Ohio
2011,Pennsylvania
2012,California
2013,New York
2014,New York
2015,Kansas
2016,New York
2017,California
2018,Texas
2019,California
2019,Alabama
2019,Maryland
2019,New Jersey
2019,Texas
2019,Texas
2019,New Jersey
2019,Texas
