State_UT_name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Total
Goa,904,704,1064,854,768,760,732,806,864,912,978,944,1046,11336
Punjab,24108,24218,26464,30128,29356,30230,31944,32230,35708,35288,35642,46438,54898,436652
Madhya Pradesh,58174,55534,53664,57864,62960,64000,65424,69510,65612,62636,65832,67918,69416,818544
West Bengal,24694,37486,32578,32638,36316,36386,37196,40460,35172,37038,39016,40862,45556,475398
Karnataka,19492,20824,21804,23084,24454,25400,26104,27076,26482,25778,25332,26274,28236,320340
Lakshadweep,2,32,8,0,12,0,44,38,88,54,160,0,0,438
Gujarat,17846,20494,20452,23140,22432,23586,23684,24558,23884,23056,23202,23170,24116,293620
Kerala,10752,10376,12928,14388,13726,13008,13484,13464,13942,13384,12458,13894,14790,170594
Haryana,22696,22716,24198,24020,25094,25374,26186,28098,27674,28438,30066,33904,35288,353752
Arunachal Pradesh,0,0,0,0,0,0,0,0,124,114,110,142,184,674
Pondicherry,524,492,556,602,576,624,692,600,538,522,484,570,560,7340
Tripura,2080,2082,2802,2530,2820,2740,2634,2556,1976,1902,1798,1802,1802,29524
Manipur,924,1032,1064,930,1058,796,888,930,1064,1236,1294,1446,1320,13982
Chhattisgarh,19334,20012,17722,17746,19642,20718,20902,22460,24284,25830,27836,29560,31680,297726
Himachal Pradesh,1814,1794,1956,2088,2336,2672,2870,2936,3108,3170,3214,3432,3998,35388
Chandigarh,852,912,1050,1098,910,876,1002,1052,1286,1280,1252,1468,1322,14360
Bihar,71814,74600,74646,66146,91636,88562,79276,75418,67422,59400,56064,57100,62518,924602
Jammu & Kashmir,3294,3606,3790,4078,4274,4540,4598,4620,4724,5154,5326,5080,4704,57788
Jharkhand,33034,30256,32830,34994,38466,41418,35872,36806,34392,36084,33172,34662,36440,458426
Sikkim,372,344,342,324,390,450,452,520,386,414,380,472,460,5306
Uttaranchal,4580,4718,4862,4730,4700,5288,5418,6468,7014,7086,6522,7070,7690,76146
Tamilnadu,42520,43790,45306,42204,41362,37312,33198,32408,28720,27732,27738,26390,29442,458122
Meghalaya,1052,1064,1110,986,1110,1242,1330,1238,1312,1252,1140,1392,1700,15928
Andhra Pradesh,26180,26846,28168,27762,29226,30842,30090,28160,25616,24980,26426,26570,28626,359492
Mizoram,1716,1716,1674,1918,1426,1458,1882,1580,1530,1984,1762,1694,1740,22080
Maharashtra,45054,44044,47858,49844,50862,51578,51784,51662,49768,48562,48164,49018,54800,642998
Orissa,23350,25274,25934,26316,27916,29288,30736,28746,27068,24858,25506,25734,28946,349672
D & N Haveli,332,320,344,66,58,66,56,92,112,84,50,74,70,1724
Uttar Pradesh,106592,104450,101062,103412,113436,133338,152360,161618,167610,165346,164766,160622,167036,1801648
A & N Islands,766,662,592,442,448,692,826,442,456,1376,2238,2252,2298,13490
Nagaland,1330,1262,1136,1178,1250,1348,1002,1238,1246,1042,1004,796,974,14806
Delhi,22046,24082,24344,25220,24634,26800,23210,23106,22492,21712,24248,24226,27104,313224
Rajasthan,25990,24772,25390,26342,25986,27966,29374,31040,35864,34388,36208,38702,38586,400608
Assam,12970,14134,15274,15656,17026,17076,17410,17484,16320,15844,16406,16542,16526,208668
Daman & Diu,82,66,66,54,70,108,132,86,80,60,58,50,112,1024
